"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","695","POST login with invalid credentials returns 404 @api","chromium","2026-05-10","passed","2026-05-10","","api/api.spec.js","",""
"","26045","verify user can add product to cart successfully @smoke","chromium","2026-05-10","passed","2026-05-10","","products/products.spec.js","",""
"","6222","verify user can search for a product successfully @smoke","chromium","2026-05-10","passed","2026-05-10","","products/products.spec.js","",""
"","670","POST create user account returns 201 @api","chromium","2026-05-10","passed","2026-05-10","","api/api.spec.js","",""
"","4246","verify login fails with invalid credentials @regression","chromium","2026-05-10","passed","2026-05-10","","auth/auth.spec.js","",""
"","4447","verify user can sign up successfully @smoke","chromium","2026-05-10","passed","2026-05-10","","auth/auth.spec.js","",""
"","2742","verify duplicate email registration is rejected @regression","chromium","2026-05-10","passed","2026-05-10","","auth/auth.spec.js","",""
"","2506","verify login fields are required @regression","chromium","2026-05-10","passed","2026-05-10","","auth/auth.spec.js","",""
"","909","DELETE user account returns 200 @api","chromium","2026-05-10","passed","2026-05-10","","api/api.spec.js","",""
"","669","POST login with valid credentials returns 200 @api","chromium","2026-05-10","passed","2026-05-10","","api/api.spec.js","",""
"","25319","verify user can delete product from cart successfully @regression","chromium","2026-05-10","passed","2026-05-10","","products/products.spec.js","",""
"","7094","create user via API then login via UI @smoke","chromium","2026-05-10","passed","2026-05-10","","auth/api-ui.spec.js","",""
"","4460","verify user can log in successfully @smoke","chromium","2026-05-10","passed","2026-05-10","","auth/auth.spec.js","",""
"","758","GET all products returns 200 @api","chromium","2026-05-10","passed","2026-05-10","API Tests","api/api.spec.js","",""
